"coeff_names","mean","sd","low","up"
"tau.s(ID).1",0,0,0,0
"tau.s(ID).2",0,0,0,0
"tau.s(ID).3",-0.001,0,-0.001,-0.001
"tau.s(ID).4",0,0,0,0
"tau.s(ID).5",0.001,0,0.001,0.001
"tau.s(ID).6",0,0,0,0
"tau.s(ID).7",0,0,0,0
"tau.s(ID).8",0,0,0,0
"tau.s(ID).9",0,0,0,0
"tau.s(ID).10",0,0,0,0
"tau.s(ID).11",0.001,0,0.001,0.001
"tau.s(ID).12",0,0,0,0
"nu.s(ID).1",-0.094,0,-0.094,-0.094
"nu.s(ID).2",0.002,0,0.002,0.002
"nu.s(ID).3",0.371,0,0.371,0.371
"nu.s(ID).4",0.063,0,0.063,0.063
"nu.s(ID).5",-0.554,0,-0.554,-0.554
"nu.s(ID).6",-0.304,0,-0.304,-0.304
"nu.s(ID).7",0.117,0,0.117,0.117
"nu.s(ID).8",-0.12,0,-0.12,-0.12
"nu.s(ID).9",0.091,0,0.091,0.091
"nu.s(ID).10",0.083,0,0.083,0.083
"nu.s(ID).11",0.043,0,0.043,0.043
"nu.s(ID).12",0.272,0,0.272,0.272
"mu1.(Intercept)",0,0,0,0
"mu2.(Intercept)",0,0,0,0
"tau.(Intercept)",-0.446,0,-0.446,-0.446
"nu.(Intercept)",1.15,0,1.15,1.15
"tau.s(ID)",0.012,0,0.012,0.012
"nu.s(ID)",0.249,0,0.249,0.249
"log_sigma_obs",-3.234,0,-3.234,-3.234
