"coeff_name","true","mean","sd","biais","re_biais","rmse"
"tau.s(ID).1",-0.099,-0.025,0.051,0.073,-74.487,0.09
"tau.s(ID).2",0,0.008,0.026,0.008,64636.539,0.028
"tau.s(ID).3",0.225,-0.002,0.025,-0.227,-101.088,0.228
"tau.s(ID).4",0.288,0.059,0.121,-0.229,-79.363,0.259
"tau.s(ID).5",-0.219,-0.025,0.048,0.194,-88.5,0.2
"tau.s(ID).6",-0.023,-0.039,0.082,-0.016,66.572,0.084
"tau.s(ID).7",0.24,0.065,0.122,-0.176,-73.051,0.214
"tau.s(ID).8",-0.094,-0.017,0.042,0.077,-81.788,0.087
"tau.s(ID).9",-0.01,0.043,0.086,0.053,-509.04,0.101
"tau.s(ID).10",-0.017,-0.045,0.094,-0.027,158.677,0.098
"tau.s(ID).11",-0.178,-0.02,0.043,0.157,-88.594,0.163
"tau.s(ID).12",-0.089,0.001,0.022,0.09,-101.014,0.093
"nu.s(ID).1",-0.003,0.05,0.056,0.053,-1799.898,0.077
"nu.s(ID).2",-0.041,-0.03,0.027,0.012,-28.216,0.029
"nu.s(ID).3",0.111,0.016,0.024,-0.095,-85.495,0.098
"nu.s(ID).4",-0.048,-0.104,0.097,-0.055,115.248,0.111
"nu.s(ID).5",-0.043,0.056,0.037,0.099,-228.456,0.106
"nu.s(ID).6",0.07,0.068,0.044,-0.002,-2.197,0.044
"nu.s(ID).7",-0.106,-0.159,0.071,-0.053,50.059,0.089
"nu.s(ID).8",-0.004,0.042,0.037,0.046,-1126.443,0.059
"nu.s(ID).9",-0.155,-0.11,0.051,0.045,-29.262,0.068
"nu.s(ID).10",0.117,0.101,0.049,-0.015,-13.059,0.051
"nu.s(ID).11",-0.027,0.049,0.036,0.076,-279.312,0.084
"nu.s(ID).12",-0.047,0.007,0.025,0.053,-114.209,0.059
"omega.te(theta,DistanceShore).1",6.471,6.259,0.662,-0.212,-3.28,0.695
"omega.te(theta,DistanceShore).2",-2.074,-2.124,0.82,-0.05,2.41,0.821
"omega.te(theta,DistanceShore).3",4.616,3.69,0.7,-0.926,-20.065,1.161
"omega.te(theta,DistanceShore).4",15.443,15.605,0.971,0.161,1.044,0.985
"omega.te(theta,DistanceShore).5",4.625,2.655,1.711,-1.97,-42.599,2.61
"omega.te(theta,DistanceShore).6",21.103,19.708,1,-1.395,-6.61,1.716
"omega.te(theta,DistanceShore).7",2.907,3.308,0.687,0.401,13.807,0.796
"omega.te(theta,DistanceShore).8",4.86,3.73,0.79,-1.13,-23.248,1.379
"tau.(Intercept)",0.405,0.398,0.093,-0.008,-1.875,0.093
"nu.(Intercept)",1.386,1.378,0.045,-0.008,-0.585,0.046
"omega.(Intercept)",0.014,0.002,0.142,-0.012,-84.864,0.142
"tau.s(ID)",0.2,0.054,0.074,-0.146,-72.78,0.163
"nu.s(ID)",0.1,0.093,0.034,-0.007,-7.021,0.035
